CATEGORY,BRAND,MODEL NO,DESCRIPTION,PDC,CDC,STOCK
NVR,HIFOCUS,HD-NVR-5216T-B,16 CH NVR,13499,13229.02,10
NVR,HIFOCUS,HD-NVR-5232T-A,32 CH NVR,15576,15264.48,10
NVR,HIFOCUS,HD-NVR-5240T-B,40 CH NVR,19210,18825.8,10
NVR,HIFOCUS,HD-NVR-7240T,40 CH NVR,22326,21879.48,10
NVR,HIFOCUS,HD-NVR-5440T,40 CH NVR,33229,32564.42,10
NVR,HIFOCUS,HD-NVR-7440T,40 CH NVR,36344,35617.12,10
NVR,HIFOCUS,HD-NVR-7480T,80 CH NVR,46209,45284.82,10
NVR,HIFOCUS,HD-NVR-5880T,80 CH NVR,58670,57496.6,10
DVR ,HIFOCUS,HD-XVR-4104TLC,4 CH Hybrid Video Recorder,2752,2696.96,10
DVR ,HIFOCUS,HD-XVR-4108TLC,8 CH Hybrid Video Recorder,3894,3816.12,10
DVR ,HIFOCUS,HD-XVR-4116TLC,16 CH Hybrid Video Recorder,6490,6360.2,10
DVR ,HIFOCUS,HD-XVR-5104TLC,4 CH 5MP-N Hybrid Recorder,4050,3969,10
DVR ,HIFOCUS,HD-XVR-5108TLC,8 CH 5MP-N Hybrid Recorder,5867,5749.66,10
DVR ,HIFOCUS,HD-XVR-5116TLC,16 CH 5MP-N Hybrid Recorder,10384,10176.32,10
HD Camera,CP PLUS,CP-URC-DC24PL3,HD Camera 2 MP Basic without  Mic Dome,817,800.66,10
HD Camera,CP PLUS,CP-URC-TC24PL3,HD Camera 2 MP Basic without  Mic Bullet,893,875.14,10
HD Camera,CP PLUS,CP-URC-DC24PL3C,HD Camera 2 MP Basic with Mic Dome,991,971.18,10
HD Camera,CP PLUS,CP-URC-TC24PL3C,HD Camera 2 MP Basic with Mic Bullet,1067,1045.66,10
HD Camera,CP PLUS,CP-URC-DC24PL3C-L-0360,HD Camera 2 MP with Mic dual Light Dome,1296,1270.08,10
HD Camera,CP PLUS,CP-URC-TC24PL3C-L-0360,HD Camera 2 MP with Mic dual Light Bullet,1355,1327.9,10
HD Camera,CP PLUS,CP-GPC-DA24PL2C-SE,HD Camera 2 MP with Mic Collor dome,1564,1532.72,10
HD Camera,CP PLUS,CP-GPC-TA24PL2C-SE,HD Camera 2 MP with Mic Collor Bullet,1628,1595.44,10
HD Camera,CP PLUS,CP-USC-DC51PL3C,HD Camera 5 MP with Mic Dome,1368,1340.64,10
HD Camera,CP PLUS,CP-USC-TC51PL3C,HD Camera 5 MP with Mic Bullet,1431,1402.38,10
HD Camera,CP PLUS,CP-URC-DC51PL3C-L-0360,HD Camera 5 MP with MIC Dual light Dome,1676,1642.48,10
HD Camera,CP PLUS,CP-URC-TC51PL3C-L-0360,HD Camera 5 MP with MIC Dual light Bullet,1740,1705.2,10
HD Camera,CP PLUS,CP-GPC-DA50PL2C-SE-0360,HD Camera 5 MP with MIC Dual light Dome-FULL COLOUR,1868,1830.64,10
HD Camera,CP PLUS,CP-GPC-TA50PL2C-SE-0360,HD Camera 5 MP with MIC Dual light Bullet-FULL COLOUR,1926,1887.48,10
HD Camera,CP PLUS,CP-HD-UMC-DA24L4-L,TWO WAY AUDIO 2MP,1432,1403.36,10
HD Camera,CP PLUS,CP-HD-UMC-TA24L3-L,TWO WAY AUDIO 2MP,1492,1462.16,10
DVR,CP PLUS,CP-UVR-0401F1V-I,DVR 4 CH basic Model H. 265+ - 5 MP Support,5504,5393.92,10
DVR,CP PLUS,CP-UVR-0401L1-4KI3,DVR 4 CH basic Model H. 265+ - 5 MP Support-4K,5911,5792.78,10
DVR,CP PLUS,CP-UVR-0401E1V-I,DVR 4 CH basic Model H. 265+ 2 MP & 2WAY AUDIO SUPPORT,3596,3524.08,10
DVR,CP PLUS,CP-UVR-0801F1V-I,DVR 8 CH basic Model H. 265+ - 5 MP Support,7755,7599.9,10
DVR,CP PLUS,CP-UVR-0801L1-4KH / 4K-I3,DVR 8 CH basic Model H. 265+ - 5 MP Support-4K,10226,10021.48,10
DVR,CP PLUS,CP-UVR-0801E1V-I,DVR 8 CH basic Model H. 265+ 2 MP & 2WAY AUDIO SUPPORT,4753,4657.94,10
DVR,CP PLUS,CP-UVR-1601E1-IC,DVR 16 CH basic Model H. 265+ 2 MP Support,7006,6865.88,10
DVR,CP PLUS,CP-UVR-1601E1V-I,DVR 16 CH basic Model H. 265+ - 2 MP Support & 2WAY AUDIO SUPPORT,7755,7599.9,10
DVR,CP PLUS,CP-UVR-1601F1V-I,DVR 16 CH basic Model H. 265+ - 5 MP Support & 2WAY AUDIO SUPPORT,15010,14709.8,10
DVR,CP PLUS,CP-UVR-1601F1-IC,DVR 16 CH basic Model H. 265+ - 5 MP Support,12756,12500.88,10
DVR,CP PLUS,CP-UVR-1601L1N-4KI-V2,DVR 16 CH basic Model H. 265+ - 5 MP Support- 1 Sata 4K,12758,12502.84,10
DVR,CP PLUS,CP-UVR-3201E2-I,DVR 32 CH basic Model H. 265+ -2 MP Support- 2 SATA,22516,22065.68,10
DVR,CP PLUS,CP-UVR-3201K2-I3-V2,DVR 32 CH basic Model H. 265+ -5 MP Support- 2 SATA,27518,26967.64,10
IPC,CP PLUS,CP-UNC-DA21L3C-Q-0280,IP STQC MODEL 2MP DOME,3068,3006.64,10
IPC,CP PLUS,CP-UNC-DA21L3C-Q-0360,IP STQC MODEL 2MP DOME,3068,3006.64,10
IPC,CP PLUS,CP-UNC-TA21L3C-Q-0360,IP STQC MODEL 2MP BULLET,3131,3068.38,10
IPC,CP PLUS,CP-UNC-DA21L3C-LQ-0360,IP STQC MODEL 2MP DOME ILLUMAX,3380,3312.4,10
IPC,CP PLUS,CP-UNC-TA21L3C-LQ-0360,IP STQC MODEL 2MP BULLET ILLUMAX,3443,3374.14,10
IPC,CP PLUS,CP-UNC-DA21L3B-LQ-0360,IP STQC MODEL TWO WAY AUDIO DOME,3632,3559.36,10
IPC,CP PLUS,CP-UNC-TA21L3B-LQ-0360,IP STQC MODEL TWO WAY AUDIO BULLET,3695,3621.1,10
IPC,CP PLUS,CP-UNC-TA21L6C-Q-0600,IP STQC MODEL 2MP 60M,4391,4303.18,10
IPC,CP PLUS,CP-UNC-DA41L3C-D-Q-0360,IP STQC MODEL 4MP DOME ,3853,3775.94,10
IPC,CP PLUS,CP-UNC-TA41L3C-D-Q-0360,IP STQC MODEL 4MP BULLET,3916,3837.68,10
IPC,CP PLUS,CP-UNC-DA41L3C-D-LQ-0360,IP STQC MODEL 4MP DOME ILLUMAX,4169,4085.62,10
IPC,CP PLUS,CP-UNC-TA41L3C-D-LQ-0360,IP STQC MODEL 4MP BULLET ILLUMAX,4233,4148.34,10
IPC,CP PLUS,CP-UNC-DA41L3C-Q-0360,IP STQC MODEL 4MP DOME NO WDR,3727,3652.46,10
IPC,CP PLUS,CP-UNC-TA41L3C-Q-0360,IP STQC MODEL 4MP BUPPET NO WDR,3791,3715.18,10
IPC,CP PLUS,CP-UNC-DA41L3C-LQ-0360,IP STQC MODEL 4MP DOME ILLUMAX NO WDR,4042,3961.16,10
IPC,CP PLUS,CP-UNC-TA41L3C-LQ-0360,IP STQC MODEL 4MP BULLET NO WDR,4104,4021.92,10
IPC,CP PLUS,CP-UNC-DA41L3B-D-LQ-0360,IP STQC MODEL 4MP TWO WAY AUDIO DOME,4422,4333.56,10
IPC,CP PLUS,CP-UNC-TA41L3B-D-LQ-0360,IP STQC MODEL 4MP BULLET TWO WAY AUDIO,4485,4395.3,10
IPC,CP PLUS,CP-UNC-TA41L6C-D-Q-0600,IP STQC MODEL 4MP 60M,5339,5232.22,10
IPC,CP PLUS,CP-UNC-DA61L3C-LQ-0360,IP STQC MODEL 6MP DOME ILLUMAX,5338,5231.24,10
IPC,CP PLUS,CP-UNC-TA61L3C-LQ-0360,IP STQC MODEL 6MP BULLET ILLUMAX,5401,5292.98,10
IPC,CP PLUS,CP-UNC-DA81L3C-LQ-0360,IP STQC MODEL 8MP DOME ILLUMAX,7548,7397.04,10
IPC,CP PLUS,CP-UNC-TA81L3C-LQ-0360,IP STQC MODEL 8MP BULLET ILLUMAX,7611,7458.78,10
NVR,CP PLUS,CP-UNR-104F1,NVR 4 Ch Basic 80Mbps/80Mbps up to 8 Mp Support-1 sata,4879,4781.42,10
NVR,CP PLUS,CP-UNR-108F1,NVR 8 Ch Basic 80Mbps/80Mbps up to 8 Mp Support-1 Sata,5505,5394.9,10
NVR,CP PLUS,CP-UNR-4K2161-V4,NVR 16 Ch Basic 80Mbps/80Mbps up to 12 Mp Support-1 Sata,8202,8037.96,10
NVR,CP PLUS,CP-UNR-4K2041-V4,NVR 4 4KCh Basic 80Mbps/80Mbps up to 8 Mp Support-1 sata,6370,6242.6,10
NVR,CP PLUS,CP-UNR-4K2081-V4,NVR 8 4KCh Basic 80Mbps/80Mbps up to 8 Mp Support-1 Sata,6995,6855.1,10
NVR,CP PLUS,CP-UNR-4K2162-V2,NVR 16 ch 160Mbps/160Mbps up to 8 mp-2 Sata,9943,9744.14,10
NVR,CP PLUS,CP-UNR-4K4082-V2,NVR 8ch 200Mbps up to 8mp-4K-2 Sata,9131,8948.38,10
NVR,CP PLUS,CP-UNR-4K4162-V3,NVR 16 ch 160Mbps up to 8 mp-2 sata,11634,11401.32,10
NVR,CP PLUS,CP-UNR-4K4322-V3,NVR 32 ch 160Mbps up to 8 mp-2 Sata,14998,14698.04,10
NVR,CP PLUS,CP-UNR-4K4164-I,NVR 16 ch 256 Mbps up to 8 mp-4 Sata,24265,23779.7,10
NVR,CP PLUS,CP-UNR-4K4324-I,NVR 32 ch 256 Mbps up to 8 mp-4 Sata,31142,30519.16,10
NVR,CP PLUS,CP-UNR-4K5644-FI,NVR 64 Ch 320 Mbps Up to 12Mp-4 Sata,41278,40452.44,10
NVR,CP PLUS,CP-UNR-4K564R8-FI,NVR 64 Ch 320 Mbps Up to 12Mp-8 Sata,56912,55773.76,10
PTZ,CP PLUS,CP-UNP-D2521L10-DPQ,PTZ 2 Mp 100M/25X,31582,30950.36,10
PTZ,CP PLUS,CP-UNP-E3221L18-DAQ,PTZ 2 Mp 180M/32X,51912,50873.76,10
PTZ,CP PLUS,CP-UNP-E3241L18-DAQ,PTZ 4 Mp 180M/32X,58793,57617.14,10
SWITCH,CP PLUS,CP-ANW-HP4H2-N65,SWITCH 4+2 10/100/48W,1207,1182.86,10
SWITCH,CP PLUS,CP-SAVW-HPU4H2-65,SWITCH 4+2 10/100/65W,1207,1182.86,10
SWITCH,CP PLUS,CP-ANW-HPU8H2-N12,SWITCH 8+2 10/100/96W,1526,1495.48,10
SWITCH,CP PLUS,CP-SAVW-HPU8H2-96,SWITCH 8+2 10/100/96W,1526,1495.48,10
SWITCH,CP PLUS,CP-DNW-HPU8G2-96-V3,SWITCH 8+2 Uplink giga/96W,2416,2367.68,10
SWITCH,CP PLUS,CP-DNW-HPU16G2F1-20,SWITCH 16+2 Uplink giga/1 SFP Port/200W,7822,7665.56,10
SWITCH,CP PLUS,CP-DNW-HPU24G2F1-30-V2,SWITCH 24+2 Uplink giga/1 SFP Port/300W,8940,8761.2,10
SWITCH,CP PLUS,CP-DNW-GPU4G2-48C,SWITCH 4+2 10/100/1000 /48W,2416,2367.68,10
SWITCH,CP PLUS, CP-ANW-GPU8G2-N12,SWITCH 8+2 10/100/1000 /96W,3352,3284.96,10
SWITCH,CP PLUS,CP-DNW-GPU8G2F2-96,SWITCH 8+2 10/100/1000 /2 SFP Port/96W,3565,3493.7,10
SWITCH,CP PLUS,CP-DNW-GPU16G2F2-20,SWITCH 16+2 10/100/1000 /2 SFP Port/200W,10502,10291.96,10
SWITCH,CP PLUS,CP-DNW-GPU24G2F2-30,SWITCH 24+2 10/100/1000 /2 SFP Port/300W,14037,13756.26,10
SWITCH,CP PLUS,CP-ANW-GPM4F2T-N12,SWITCH Industrial Grade-4GE+2SFP Gigabit Managed Poe,14509,14218.82,10
SWITCH,CP PLUS,CP-ANW-GPM8F2T-N12,SWITCH Industrial Grade 8GE+2SFP Gigabit Managed Poe,18011,17650.78,10
SWITCH,CP PLUS,CP-ANW-GPM8F4T-N30,SWITCH 8+2 Outdoor Poe 10/100-120W,18011,17650.78,10
SWITCH,CP PLUS,CP-ANW-GPM8F2-N12,SWITCH 16+2(SFP) Port gigabit Managed PoE,9878,9680.44,10
SWITCH,CP PLUS,CP-ANW-GPM16F2-N24,SWITCH 24+4(Giga)+4(SFP) Port gigabit Managed PoE,23915,23436.7,10
SWITCH,CP PLUS,CP-ANW-GPM24G4F4-N40,"SWITCH 24+4(SFP) Port gigabit Managed PoE,L3",27518,26967.64,10
SWITCH,CP PLUS,CP-DNW-GPM24F4-40-L3,SWITCH 8 Port Gigabit Switch,35353,34645.94,10
Power Supply,CP PLUS,CP-DPS-MD50P-12D,Power Supply 5 Amps-Metal,451,441.98,10
Power Supply,CP PLUS,CP-DPS-MD100P-12D,Power Supply 10 amps-Metal,631,618.38,10
Power Supply,CP PLUS,CP-DPS-MD200P-12D,Power Supply 20 Amps-Metal,1251,1225.98,10
Power Supply,CP PLUS,CP-CPS-PD04-12D,Power Supply 4 ch smps-Plastic With Power cord - Individual Output,413,404.74,10
Power Supply,CP PLUS,CP-CPS-PD08-12D,Power Supply 8 ch smps-Plastic With Power cord - Individual Output,501,490.98,10
Power Supply,CP PLUS,CP-DPS-PD04-V3-12D,Individual Output,413,404.74,10
Power Supply,CP PLUS,CP-DPS-PD08-V3-12D,Individual Output,501,490.98,10
Power Supply,CP PLUS,CP-DPS-PD04-V2-12D,Power Supply 4 ch smps-Plastic,451,441.98,10
Power Supply,CP PLUS,CP-DPS-PD08-V2-12D,Power Supply 8 ch smps-Plastic,526,515.48,10
Power Supply,CP PLUS,CP-DPS-PD16-V2-12D,Power Supply 16 ch smps-Plastic,1014,993.72,10
Power Supply,CP PLUS,CP-YPS-PD04-52D, Industrial Grade 4 CH,2251,2205.98,10
Power Supply,CP PLUS,CP-YPS-PD08-52D, Industrial Grade 8 CH,2814,2757.72,10
CABLE,CP PLUS,CP-ECC-70R,CABLE 3+1 70M Economy,1113,1090.74,10
CABLE,CP PLUS,CP-ECC-70RS,CABLE 3+1 70M Standard,1138,1115.24,10
CABLE,CP PLUS,CP-ECC-90R,CABLE 3+1 90M Economy,1351,1323.98,10
CABLE,CP PLUS,CP-ECC-90RS,CABLE 3+1 90M Standard,1451,1421.98,10
CABLE,CP PLUS,CP-ECC-180RS,CABLE 3+1 180M Standard,2891,2833.18,10
CABLE,CP PLUS,CP-ECC-90RM,CABLE 3+1 90M Premium,1826,1789.48,10
CABLE,CP PLUS,CP-ECC-90RSO,CABLE 3+1 90M Outdoor ,1639,1606.22,10
CABLE,CP PLUS,CP-ECC-180RSO,CABLE 3+1 180M Outdoor ,3277,3211.46,10
CAT6,CP PLUS,CP-EUT-6TGL23-305,CAT6 Full Copper Indoor 305M 24AWG,10006,9805.88,10
CAT6,CP PLUS,CP-EUT-6TGL23-100,CAT6 Full Copper Indoor 100M,3377,3309.46,10
CAT6,CP PLUS,CP-EUT-6TGL-305,CAT6 Full Copper Indoor 305M 23AWG,11867,11629.66,10
CAT6,CP PLUS,CP-EUT-6TGLA-305,CAT6 Full Copper Indoor 305M 23AWG,10724,10509.52,10
CAT6,CP PLUS,CP-EUT-6TSRH-305,CAT6 Eco Series Indoor 305M,3377,3309.46,10
CAT6,CP PLUS,CP-FUT-6TSRH-305,CAT6 Eco Series Indoor 305M,3377,3309.46,10
CAT6,CP PLUS,CP-FUT-6TSRH-100,CAT6 Eco Series Indoor 100M,1251,1225.98,10
CAT6,CP PLUS,CP-EUT-6TSRH-100,CAT6 Eco Series Indoor 100M,1251,1225.98,10
CAT6,CP PLUS,CP-EUT-6TSRD-305,CAT6 Eco Series Double Jacket Cable 305M,4378,4290.44,10
CAT6,CP PLUS,CP-EUT-6TSRD-100,CAT6  Eco Series Double Jacket CABLE 100M,1551,1519.98,10
CAT6,CP PLUS,CP-EST-6TGD23-305,CAT6  Full copper Double Jacket CABLE 305M,11169,10945.62,10
CAT6,CP PLUS,CP-EST-6TGA-305,CAT6  23AWG CABLE (ARMORED) ,23395,22927.1,10
CAT6,CP PLUS,CP-EST-6TGA-305V1,CAT6 24AWG CABLE (ARMORED) ,19236,18851.28,10
CAT6,CP PLUS,CP-EST-6TGD23-100,CAT6  Full copper Double Jacket CABLE 100M,3727,3652.46,10
CAT6,CP PLUS,CP-EUT-6TP1,CAT6 Patch Cord 24AWG(1 M Length),152,148.96,10
CAT6,CP PLUS,CP-EUT-6TP2,CAT6 Patch Cord 24AWG(2 M Length),174,170.52,10
RACK,CP PLUS,CP-HA-RK3535VM-2U,RACK - Modular Mini 2U Size  (350MM x 350MM),691,677.18,10
RACK,CP PLUS,CP-HA-RK4535VM-2U,RACK - Modular 2U Size (450MM x 350MM),860,842.8,10
RACK,CP PLUS,CP-HA-RK4535VW-2U,RACK - Welded 2U Size  PDU (3 sockets) (450MM x 350MM),1056,1034.88,10
RACK,CP PLUS,CP-HA-RK4535VW-3U,RACK - Welded 3U size Fixed Tray & PDU (3 sockets) (450MM x 350MM),1219,1194.62,10
RACK,CP PLUS,CP-HA-RK4535VM-4U,RACK - Modular 4U Size  (450MM x 350MM),1198,1174.04,10
RACK,CP PLUS,CP-HA-RK5535VM-4U,RACK - Modular 4U Size  (550MM x 350MM),1394,1366.12,10
RACK,CP PLUS,CP-HA-RK5535VW-4UN1P,RACK - Welded  4U Size  PDU 3 Socket (550MM x 350MM),1618,1585.64,10
RACK,CP PLUS,CP-HA-RK5535VW-4U,RACK - Welded   4U Size  (550MM x 400MM),2286,2240.28,10
RACK,CP PLUS,CP-TA-RK5540-4U,"RACK 4U 400D, Tray (220 mm width ) ,PDU 5 amp(6 sockets) (550MM x 400MM)",2448,2399.04,10
RACK,CP PLUS,CP-TA-RK5550-6U,"RACK 6U 500D  Tray (220 mm width ),PDU 5 amp(6 sockets) ,cooling Fan  (550MM x 500MM)",4363,4275.74,10
RACK,CP PLUS,CP-TA-RK5550-9U,"RACK  9U 500D Tray (350mm depth) cooling Fan  PDU 5AMP, 6 socket (550MM x 500MM)",4576,4484.48,10
RACK,CP PLUS,CP-TA-RK5563-9U,"RACK 9U 630D,1U cable Manager,cooling Fan, PDU 
5AMP 6 socket(550MM x 630MM)",5002,4901.96,10
RACK,CP PLUS,CP-TA-RK5563-12UL,"RACK  12U 630D cable Manager ,Tray, cooling Fan, 6 socket PDU(550MM x 630MM)",7663,7509.74,10
RACK,CP PLUS,CP-HA-RK5550-12L,"RACK  12U 550D cable Manager ,Tray, cooling 
Fan, 6 socket PDU(550MM x 500MM)",6492,6362.16,10
RACK,CP PLUS,CP-HA-RK5550-15L,"RACK 15U 550D,Tray,Cable Manager  cooling 
Fan, 6 socket PDU(550MM x 500MM)",8727,8552.46,10
RACK,CP PLUS,CP-HA-RK6010-24U,",1U Cable Manager,Hardware Kit",26606,26073.88,10
RACK,CP PLUS,CP-HA-RK6010-42U,"RACK  42U 1000D, tray ,Cooling Fan, PDU ,1U Cable manager
with 5 sockets",46721,45786.58,10
RACK,CP PLUS,CP-BA-RK5545M-6U,"Wall Mount Modular Rack 6U Size; with Glass Door, Lock n key - (550MM x 450MM)",3406,3337.88,10
RACK,CP PLUS,CP-BA-RK5550M-9U,"Wall Mount Modular Rack 9U Size; with Glass Door, Lock n key - (550MM x 500MM)",3831,3754.38,10
RACK,CP PLUS,CP-BA-RK5550M-12U,"Wall Mount Modular Rack 1 2U Size; with Glass Door, Lock n key - (550MM x 500MM)",5002,4901.96,10
OUTDOOR RACK,CP PLUS,CP-HA-RK4535-2UO,OUTDOOR RACK 2U 350D (450MM x 350MM),2859,2801.82,10
OUTDOOR RACK,CP PLUS,CP-BA-RK4535-2UO,OUTDOOR RACK 2U 350D (450MM x 350MM),2859,2801.82,10
OUTDOOR RACK,CP PLUS,CP-BA-RK5035-4UO,OUTDOOR RACK 4U 350D (450MM x 350MM),4055,3973.9,10
OUTDOOR RACK,CP PLUS,CP-BA-RK5545-6UO,"OUTDOOR RACK  6U 450D,Cooling Fan, PDU 
5AMP, 6 socket, Tray(550MM x 450MM)",7383,7235.34,10
OUTDOOR RACK,CP PLUS,CP-HA-RK5550-9UO,"OUTDOOR RACK  9U IP56 Rated, 550D Cooling Fan - 2pc, PDU 5AMP, 6 socket",8838,8661.24,10
RACK - Mini,CP PLUS,CP-HA-RK3535VW-2U-T,RACK - Welded Mini 2U (350MM x 350MM),561,549.78,10
RACK - Mini,CP PLUS,CP-HA-RK4535VW-2U-T,RACK - Welded Mini 2U (450MM x 350MM),735,720.3,10
RACK - Mini,CP PLUS,CP-HA-RK5535VW-4U-T,RACK - Welded Mini  4U (550MM x 350MM),1176,1152.48,10
RACK - Mini,CP PLUS,CP-HA-RK3535VM-2U-T (Lite),RACK - Modular Mini  2U (350MM x 350MM),528,517.44,10
RACK - Mini,CP PLUS,CP-HA-RK4535VM-4U-T,RACK - Modular Mini 4U (450MM x 350MM),1036,1015.28,10
RACK - Mini,CP PLUS,CP-HA-RK3535VW-2U-TP,"Wall Mount Rack 2U Size; with a crylic fiber glass door ; lock n key (350MM x 350MM) -lite series, WITH PDU",708,693.84,10
RACK - Mini,CP PLUS,CP-HA-RK4535VW-2U-TP,"Wall Mount Rack 2U Size; with a crylic fiber glass door ; lock n key (450MM x 350MM) -lite series, WITH PDU",871,853.58,10
RACK - Mini,CP PLUS,CP-HA-RK4535VW-3U-TP,"Wall Mount Rack 3U Size; with a crylic fiber glass door ; lock n key (450MM x 350MM) -lite series, WITH FIXED TRAY &PDU",980,960.4,10
RACK - Mini,CP PLUS,CP-HA-RK5035VW-4U-TP,RACK - Welded Mini 4U (500MM x 350MM) - with PDU,1252,1226.96,10
BNC,CP PLUS,CP-FA-CB6-20,BNC,14,13.72,10
DC,CP PLUS,CP-FA-CD6-40,DC,8,7.84,10
RJ45 JACK,CP PLUS,CP-FA-CR6-100,RJ45 JACK,300,294,10
SD Card,CP PLUS,CP-NM64,SD Card 64Gb,1563,1531.74,10
SD Card,CP PLUS,CP-NM128,SD Card 128Gb,2876,2818.48,10
SD Card,CP PLUS,CP-NM256,SD Card 256Gb,6066,5944.68,10
SD Card,CP PLUS,CP-NM512,SD Card 512Gb,0,0,10
SD Card,CP PLUS,CP-UM64C,SD Card 64Gb,1563,1531.74,10
SD Card,CP PLUS,CP-UM128C,SD Card 128Gb,2876,2818.48,10
SD Card,CP PLUS,CP-UM256C,SD Card 256Gb,6066,5944.68,10
